City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
32,Hobart,-42.8794,147.3294,64.26,48,75,11.01,AU,broken clouds,2021-06-07 04:20:21
33,Lompoc,34.6391,-120.4579,60.39,87,90,7.02,US,overcast clouds,2021-06-07 04:20:47
34,Cape Town,-33.9258,18.4232,66.61,37,0,10.0,ZA,clear sky,2021-06-07 04:17:57
35,Mahibadhoo,3.7833,72.9667,83.39,70,75,15.28,MV,broken clouds,2021-06-07 04:20:48
36,Esperance,-33.8667,121.9,55.24,58,87,26.04,AU,overcast clouds,2021-06-07 04:20:48
37,Eyl,7.9803,49.8164,81.21,73,2,23.06,SO,clear sky,2021-06-07 04:20:48
38,Charlestown,-32.95,151.6667,67.82,47,91,4.0,AU,overcast clouds,2021-06-07 04:20:49
39,Okahandja,-21.9833,16.9167,48.83,67,2,11.97,NA,clear sky,2021-06-07 04:20:49
40,Zeya,53.75,127.2667,84.47,22,20,6.73,RU,few clouds,2021-06-07 04:20:50
41,Aksarka,66.5606,67.7975,42.94,45,11,5.88,RU,few clouds,2021-06-07 04:20:50
42,Kruisfontein,-34.0033,24.7314,56.26,30,0,9.71,ZA,clear sky,2021-06-07 04:20:50
43,Saint-Pierre,-21.3393,55.4781,71.24,88,90,21.85,RE,mist,2021-06-07 04:20:51
44,Upernavik,72.7868,-56.1549,34.3,82,19,5.77,GL,few clouds,2021-06-07 04:20:51
45,Belaya Gora,68.5333,146.4167,51.21,48,28,5.21,RU,scattered clouds,2021-06-07 04:20:51
46,Lincoln,40.8,-96.667,75.27,79,1,1.99,US,clear sky,2021-06-07 04:18:43
47,Vaini,-21.2,-175.2,71.76,100,90,5.75,TO,light rain,2021-06-07 04:20:52
48,Puerto Ayora,-0.7393,-90.3518,72.55,98,24,9.19,EC,few clouds,2021-06-07 04:20:52
49,Bolivar,37.6145,-93.4105,70.9,95,84,7.45,US,broken clouds,2021-06-07 04:20:53
50,Dzaoudzi,-12.7887,45.2699,78.69,78,75,17.27,YT,light rain,2021-06-07 04:20:53
51,Vardo,70.3705,31.1107,43.0,72,7,7.02,NO,clear sky,2021-06-07 04:20:53
52,Isabela,6.7085,121.9711,87.85,66,66,2.89,PH,broken clouds,2021-06-07 04:20:54
53,Guerrero Negro,27.9769,-114.0611,62.69,78,92,14.99,MX,overcast clouds,2021-06-07 04:20:54
