City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
178,Aklavik,68.2191,-135.0107,45.32,41,11,9.1,CA,few clouds,2021-06-07 04:21:37
179,Thompson,55.7435,-97.8558,53.76,87,90,10.36,CA,overcast clouds,2021-06-07 04:17:43
180,Kristianstad,56.0313,14.1524,59.14,67,6,7.52,SE,clear sky,2021-06-07 04:21:37
181,Mount Gambier,-37.8333,140.7667,64.31,55,100,19.57,AU,overcast clouds,2021-06-07 04:21:38
182,Vanino,49.0869,140.2543,55.18,66,88,6.42,RU,overcast clouds,2021-06-07 04:21:38
183,De Aar,-30.6497,24.0123,40.78,49,0,7.54,ZA,clear sky,2021-06-07 04:21:39
184,Ust-Ilimsk,58.0006,102.6619,53.38,78,90,12.5,RU,overcast clouds,2021-06-07 04:21:39
185,Ginda,30.6945,78.4932,78.8,36,3,4.29,IN,clear sky,2021-06-07 04:21:40
186,Puerto Madryn,-42.7692,-65.0385,48.36,56,68,20.27,AR,broken clouds,2021-06-07 04:21:40
187,Castelo Branco,39.8222,-7.4909,61.79,60,0,2.13,PT,clear sky,2021-06-07 04:21:40
188,Constitucion,-35.3333,-72.4167,52.12,63,100,4.81,CL,light rain,2021-06-07 04:21:36
189,Bereda,43.2686,-7.5406,53.91,96,86,3.62,ES,overcast clouds,2021-06-07 04:21:41
190,Srednekolymsk,67.45,153.6833,51.93,53,95,12.91,RU,overcast clouds,2021-06-07 04:21:41
191,Tasiilaq,65.6145,-37.6368,42.96,90,97,2.91,GL,overcast clouds,2021-06-07 04:21:42
192,Manubul,5.4732,120.7986,84.33,69,80,3.76,PH,light rain,2021-06-07 04:21:42
193,Los Llanos De Aridane,28.6585,-17.9182,64.15,84,90,12.1,ES,overcast clouds,2021-06-07 04:18:17
194,Margate,51.3813,1.3862,59.04,90,16,1.01,GB,few clouds,2021-06-07 04:21:43
195,Te Horo,-40.8084,175.1233,60.85,76,99,1.99,NZ,overcast clouds,2021-06-07 04:21:43
196,Songjianghe,42.1859,127.479,68.0,37,13,6.15,CN,few clouds,2021-06-07 04:21:43
197,Pisco,-13.7,-76.2167,62.65,88,90,1.14,PE,overcast clouds,2021-06-07 04:21:44
198,Krasnoselkup,65.7,82.4667,38.57,63,95,11.48,RU,overcast clouds,2021-06-07 04:21:44
199,Coahuayana,18.7333,-103.6833,78.87,78,58,0.31,MX,broken clouds,2021-06-07 04:21:44
200,Markova,48.6758,24.4138,54.63,89,20,4.07,UA,few clouds,2021-06-07 04:21:45
201,Phanom Sarakham,13.7479,101.3553,92.32,49,100,13.78,TH,overcast clouds,2021-06-07 04:21:45
202,Morant Bay,17.8815,-76.4093,82.02,85,4,10.58,JM,clear sky,2021-06-07 04:21:45
203,Batemans Bay,-35.7167,150.1833,70.11,46,85,6.24,AU,overcast clouds,2021-06-07 04:21:46
204,Usinsk,65.9939,57.5281,39.36,58,97,15.48,RU,overcast clouds,2021-06-07 04:21:46
205,Kloulklubed,7.0419,134.2556,79.3,80,100,6.42,PW,light rain,2021-06-07 04:21:47
206,Banda Aceh,5.5577,95.3222,85.59,63,99,10.27,ID,overcast clouds,2021-06-07 04:21:47
207,Zhob,31.3411,69.4481,85.91,34,0,1.95,PK,clear sky,2021-06-07 04:21:47
208,Broome,42.2506,-75.833,72.54,78,53,2.98,US,broken clouds,2021-06-07 04:21:48
209,Vila Franca Do Campo,37.7167,-25.4333,63.01,89,99,3.47,PT,overcast clouds,2021-06-07 04:21:48
210,Grand Gaube,-20.0064,57.6608,76.37,78,14,3.0,MU,few clouds,2021-06-07 04:21:48
211,Andros Town,24.7,-77.7667,78.76,79,63,16.44,BS,broken clouds,2021-06-07 04:21:49
212,Ngorongoro,-3.2397,35.4875,47.19,93,62,6.76,TZ,broken clouds,2021-06-07 04:21:49
213,Geraldton,-28.7667,114.6,66.61,55,100,17.65,AU,overcast clouds,2021-06-07 04:21:49
214,Ndioum,16.5129,-14.6471,91.56,19,12,5.35,SN,few clouds,2021-06-07 04:21:50
215,Askos,40.75,23.3833,67.41,80,100,2.24,GR,overcast clouds,2021-06-07 04:21:50
216,Taree,-31.9,152.4667,68.58,52,56,10.36,AU,broken clouds,2021-06-07 04:21:51
217,Lavrentiya,65.5833,-171.0,34.74,85,89,6.02,RU,overcast clouds,2021-06-07 04:21:51
218,Ahtopol,42.1,27.95,57.67,86,65,3.71,BG,broken clouds,2021-06-07 04:21:52
219,Nabire,-3.3667,135.4833,81.41,83,85,2.26,ID,overcast clouds,2021-06-07 04:21:52
220,Khorol,49.7837,33.2783,55.47,95,99,5.75,UA,overcast clouds,2021-06-07 04:21:52
221,Tiarei,-17.5333,-149.3333,80.62,72,14,8.48,PF,few clouds,2021-06-07 04:21:53
222,Adeje,28.1227,-16.726,64.51,70,20,2.95,ES,few clouds,2021-06-07 04:21:53
223,Rocha,-34.4833,-54.3333,45.72,89,97,3.18,UY,overcast clouds,2021-06-07 04:21:53
224,Sayyan,15.1718,44.3244,67.68,35,16,3.65,YE,few clouds,2021-06-07 04:21:54
225,Saint Anthony,45.0205,-93.218,84.22,51,1,10.11,US,clear sky,2021-06-07 04:21:54
226,Nome,64.5011,-165.4064,35.67,80,90,9.22,US,overcast clouds,2021-06-07 04:21:54
227,Yadrin,55.9405,46.2062,63.57,83,11,3.13,RU,few clouds,2021-06-07 04:21:55
228,General Pico,-35.6566,-63.7568,48.22,51,98,11.05,AR,overcast clouds,2021-06-07 04:21:55
229,Haines Junction,60.7522,-137.5108,48.15,93,100,1.14,CA,light rain,2021-06-07 04:21:56
230,Peniche,39.3558,-9.3811,60.89,86,0,15.5,PT,clear sky,2021-06-07 04:21:56
231,Kavieng,-2.5744,150.7967,83.32,71,14,5.32,PG,light rain,2021-06-07 04:21:56
232,Dabakala,8.3667,-4.4333,72.86,95,21,4.9,CI,few clouds,2021-06-07 04:21:57
233,Dingle,10.9995,122.6711,87.33,62,100,5.32,PH,overcast clouds,2021-06-07 04:21:57
234,Catuday,16.2923,119.8062,85.1,69,100,12.8,PH,overcast clouds,2021-06-07 04:21:57
235,Brae,60.3964,-1.353,42.71,78,97,2.19,GB,overcast clouds,2021-06-07 04:21:58
236,Bretigny-Sur-Orge,48.6114,2.3059,57.81,91,0,4.47,FR,clear sky,2021-06-07 04:21:58
237,Hamilton,39.1834,-84.5333,72.79,92,1,6.2,US,clear sky,2021-06-07 04:19:03
238,Sambava,-14.2667,50.1667,72.95,82,41,13.38,MG,scattered clouds,2021-06-07 04:21:59
239,Jalu,29.0331,21.5482,71.2,36,0,9.1,LY,clear sky,2021-06-07 04:21:59
240,Rio Claro,-22.4114,-47.5614,57.79,77,17,1.99,BR,few clouds,2021-06-07 04:21:59
241,Ratangarh,28.0833,74.6,97.14,29,0,19.57,IN,clear sky,2021-06-07 04:22:00
242,Luanda,-8.8368,13.2343,77.0,83,75,3.44,AO,broken clouds,2021-06-07 04:22:00
243,Cap Malheureux,-19.9842,57.6142,76.46,78,12,3.0,MU,few clouds,2021-06-07 04:22:00
244,Iganga,0.6092,33.4686,63.75,91,49,2.3,UG,scattered clouds,2021-06-07 04:22:01
245,Alvorada,-12.48,-49.1247,72.64,56,99,3.76,BR,overcast clouds,2021-06-07 04:22:01
246,Nanortalik,60.1432,-45.2371,42.28,76,100,7.49,GL,overcast clouds,2021-06-07 04:22:02
247,Kharod,21.75,82.5667,99.88,30,5,13.0,IN,clear sky,2021-06-07 04:22:02
248,Kahului,20.8947,-156.47,80.62,71,40,17.27,US,scattered clouds,2021-06-07 04:22:02
249,Taoudenni,22.6783,-3.9836,97.07,10,36,2.95,ML,scattered clouds,2021-06-07 04:22:03
250,Coihaique,-45.5752,-72.0662,42.75,87,75,3.44,CL,light rain,2021-06-07 04:22:03
251,Roma,43.2128,-75.4557,73.89,84,1,0.0,US,clear sky,2021-06-07 04:19:42
252,Belmonte,-15.8631,-38.8828,72.1,88,41,5.44,BR,scattered clouds,2021-06-07 04:22:03
253,Morehead,37.2711,-87.1764,71.83,94,90,0.0,US,overcast clouds,2021-06-07 04:22:04
254,Jinchang,38.4953,102.1739,73.42,24,0,8.68,CN,clear sky,2021-06-07 04:22:04
255,Lac Du Bonnet,50.2536,-96.0612,64.58,74,11,6.22,CA,few clouds,2021-06-07 04:22:04
256,Awbari,26.5921,12.7805,78.01,20,53,7.11,LY,broken clouds,2021-06-07 04:22:05
257,Pahalgam,34.0333,75.3333,66.45,37,0,3.15,IN,clear sky,2021-06-07 04:22:05
